系列,牌号,销售区域,部门,销售,公司名称,近三年牌号成交规模,公司类型,制成品,行业,细分行业,用料,使用品类,使用二级品类,月用量,是否授信,冻结原因,授信期限,授信区间,快塑贷授信额度,快塑贷在贷余额,保险额度,第三方预授信额度,第三方激活额度,第三方已用额度,第三方预授信明细,第三方激活明细,复购率,最近成交日期,公司规模,近一年公司渗透率,近一年公司品类渗透率,近一年成交品类数,近一年成交品类,crm是否有期货用料,近一年是否有期货订单,是否代采客户,黑名单状态,近30天上线天数,当月上线天数,是否绑定企微,近一年快塑贷逾期率,近一年最长逾期天数,近一年最长逾期天数区间,近一年平均逾期天数,近一年平均逾期天数区间,是否使用美金支付,是否使用手册核销
8碳线性Dowlex系列,2045G,CPG,CPG华东,向雨,上海紫江彩印包装有限公司,,终端,乳制品包装膜/袋|共挤膜/多层包装膜（医药类）|共挤膜/多层包装膜（日用类）|共挤膜/多层包装膜（食品类）|其他食品软包装|冷冻食品包装膜/袋|化妆品包装膜/袋|医药包装膜/袋|洗衣粉/液包装膜/袋|烘焙食品包装膜/袋|立袋/自立袋/站立袋|肉类食品共挤包装膜/袋|蒸煮袋|通用食品包装膜/袋|食盐袋,其它|软包装,其它|医药|日用|食品,"HDPE膜料-6207FL(HTA108)|埃克森,HDPE膜料-H377C|泰国SCG,LDPE涂覆料-955|韩华,LDPE膜料-0274|卡塔尔石化,LDPE膜料-2420H|中海壳牌,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018AY|埃克森,LLDPE膜料-2038.68G|陶氏,LLDPE膜料-2045.11G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-沙特2018BU|埃克森,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-1018MF(1018.MF)|埃克森,MLLDPE-1018MF|埃克森,MLLDPE-1327MA|埃克森,MLLDPE-2018MA|埃克森,MLLDPE-2018MB(2018.MB)|埃克森,MLLDPE-5045P|陶氏,MLLDPE-5400G|陶氏,MLLDPE-5401GT|陶氏,MLLDPE-5401G|陶氏,MLLDPE-5500G|陶氏,MLLDPE-5538G|陶氏,MLLDPE-SP2520|三井化学,MLLDPE-XP8318ML|埃克森,POP 聚烯烃塑性体-1450G1P|陶氏,POP 聚烯烃塑性体-PL1880G|陶氏,POP 聚烯烃塑性体-PL1881G|陶氏","HDPE,LDPE,LLDPE,MLLDPE,POP 聚烯烃塑性体","HDPE膜料,LDPE涂覆料,LDPE膜料,LLDPE膜料,MLLDPE,POP 聚烯烃塑性体",1700,已授信,,30,16-30天,1000000,309375,0,300000,0,0,京塑条|授信额度:|300000|,,二月购,2026-05-21,大客户,0.36%,"LDPE|月用量|60|渗透率|0.00%|,LDPE膜料|月用量|300|渗透率|0.00%|,LLDPE|月用量|25|渗透率|0.00%|,POP 聚烯烃塑性体|月用量|20|渗透率|0.00%|,LDPE涂覆料|月用量|100|渗透率|0.00%|,HDPE膜料|月用量|400|渗透率|0.00%|,MLLDPE|月用量|702|渗透率|0.29%|,LLDPE膜料|月用量|800|渗透率|0.26%|",2,"LLDPE,MLLDPE",,有期货订单,非代采客户,正常,未上线,,已绑定,0.6667,21,16-30天,9.3333,8-15天,否,是
8碳线性Dowlex系列,2045G,CPG,CPG华东,王金莹,嘉兴鹏翔新材料科技有限公司,479.25,终端,热收缩膜,软包装,工业,"LLDPE膜料-2042G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-2645G|陶氏,LLDPE膜料-7042|镇海炼化,LLDPE膜料-7047|浙江石化,MLLDPE-5220G|陶氏,PPB膜料-FS6612L|新加坡聚烯烃,TERPP膜料-C5608|燕山石化,TERPP膜料-F5606|燕山石化,ULDPE膜料-4203|陶氏","LLDPE,MLLDPE,PPB,TERPP,ULDPE","LLDPE膜料,MLLDPE,PPB膜料,TERPP膜料,ULDPE膜料",1200,已授信,,15,8-15天,600000,,0,,,,,,半年购,2025-10-20,大客户,2.47%,"LLDPE膜料|月用量|900|渗透率|3.29%|,TERPP膜料|月用量|100|渗透率|0.00%|,MLLDPE|月用量|200|渗透率|0.00%|",1,LLDPE,,有期货订单,非代采客户,正常,小于5天,,已绑定,1,7,1-7天,5.75,1-7天,否,否
8碳线性Dowlex系列,2045G,快塑华南,交易服务2部-广州,韩智锋,深圳市新雅达兴胶袋制品有限公司,,终端,购物袋/背心袋/零售袋/手提袋/马甲袋,软包装,日用,"HDPE拉丝料-5000S|裕龙石化,HDPE拉丝料-6094|延长榆能化,HDPE膜料-10500FE|俄罗斯西布尔,HDPE膜料-5110|伊朗石化,HDPE膜料-EX5|伊朗石化,HDPE膜料-J50-10N5000|英力士,LDPE涂覆料-LD251|中天合创,LDPE膜料-2426K|延长榆能化,LDPE膜料-2426K|茂名石化,LDPE重包料-2420D|伊朗石化,LLDPE注塑料-50026XR|埃克森,LLDPE注塑料-LL6201.19|埃克森,LLDPE膜料-1646|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-218WJ|沙特SABIC,LLDPE膜料-22B02|中东,LLDPE膜料-35BN|鲁清石化,LLDPE膜料-7047|裕龙石化,LLDPE膜料-7050|抚顺石化,LLDPE膜料-7050|科威特,LLDPE膜料-DFDC-7050|中海壳牌,LLDPE膜料-INJNP|美国Tyne,LLDPE膜料-LEF35B协议料|鲁清石化,LLDPE膜料-沙特2018BU|埃克森,MLLDPE-1018RA|埃克森","HDPE,LDPE,LLDPE,MLLDPE","HDPE拉丝料,HDPE膜料,LDPE涂覆料,LDPE膜料,LDPE重包料,LLDPE注塑料,LLDPE膜料,MLLDPE",60,未授信,,0,未授信,,,0,286378.12,0,0,京塑条|授信额度:|286378|,,四月购,2026-05-14,小客户,14.79%,"LLDPE膜料|月用量|50|渗透率|7.46%|,LDPE膜料|月用量|5|渗透率|0.00%|,HDPE膜料|月用量|5|渗透率|28.33%|",,,有期货用料,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,是
8碳线性Dowlex系列,2045G,CPG,CPG华东,徐岳,苏州众和软包装技术有限公司,,终端,卫生用品包装膜/袋,软包装,日用,"LDPE膜料-0274|卡塔尔石化,LDPE膜料-2420H|扬子巴斯夫,LDPE膜料-2426H|中海壳牌,LDPE膜料-2426H|扬子巴斯夫,LLDPE膜料-2018.BU|埃克森,LLDPE膜料-2045G|陶氏,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-沙特2018BU|埃克森,MLLDPE-5401G|陶氏,POP 聚烯烃塑性体-PL1881G|陶氏","LDPE,LLDPE,MLLDPE,POP 聚烯烃塑性体","LDPE膜料,LLDPE膜料,MLLDPE,POP 聚烯烃塑性体",160,待风控重审,风控冻结|风险低：节假日策略，客户或我司阶段性资金头寸紧张，暂停操作的低毛利或小型客户,7,1-7天,10,,0,172915.62,0,0,京塑条|授信额度:|172916|,,无复购率,2024-03-20,小客户,,"LDPE膜料|月用量|50|渗透率|0.00%|,HDPE膜料|月用量|10|渗透率|0.00%|,LLDPE膜料|月用量|100|渗透率|0.00%|,MLLDPE|月用量|5|渗透率|0.00%|,POP 聚烯烃塑性体|月用量|5|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,小于5天,,已绑定,,,无逾期,,无逾期,否,是
8碳线性Dowlex系列,2045G,CPG,CPG华东,徐岳,雅思达塑料软管(上海)有限公司,,终端,,,,"LDPE重包料-FB3003|卡塔尔石化,LLDPE膜料-2045G|陶氏,LLDPE膜料-FB2230|北欧化工,MLLDPE-SP1520|三井化学","LDPE,LLDPE,MLLDPE","LDPE重包料,LLDPE膜料,MLLDPE",0,未授信,,0,未授信,,,0,,,,,,无复购率,,小客户,,,,,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,是
8碳线性Dowlex系列,2045G,,,,广东众和化塑有限公司,,终端,,,,"LLDPE膜料-2045G|陶氏,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-1018MA|埃克森,MLLDPE-M0814.MK|埃克森,MLLDPE-M0814.ML(8784ML)|埃克森","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",0,待风控重审,系统冻结|风险低：近一年未合作,15,8-15天,1,,0,300000,0,0,京塑条|授信额度:|300000|,,无复购率,2018-04-12,小客户,,"LLDPE膜料|月用量|0|渗透率|0.00%|,MLLDPE|月用量|0|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,未知
8碳线性Dowlex系列,2045G,CPG,CPG华东,徐岳,雄县永强塑料制品厂,,终端,冷藏箱/保温箱,消费品,日用类,"LLDPE膜料-2045G|陶氏,LLDPE膜料-35BN|鲁清石化,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-1018MA|埃克森,MLLDPE-1018MF(1018.MF)|埃克森,MLLDPE-1018MF|埃克森","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",0,未授信,,0,未授信,,,0,,,,,,无复购率,2017-07-03,小客户,,"MLLDPE|月用量|0|渗透率|0.00%|,LLDPE膜料|月用量|0|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,是
8碳线性Dowlex系列,2045G,快塑华北,华北交易2部,刘鹏,微山县瑞鑫包装材料有限公司,,终端,热封膜,软包装,工业,"LDPE重包料-2100TN00|伊朗石化,LDPE重包料-2420D|中海壳牌,LDPE重包料-2420D|伊朗石化,LDPE重包料-2420D|神华榆林,LLDPE膜料-2045G|陶氏,LLDPE膜料-2645G|陶氏,LLDPE膜料-35BN|鲁清石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-FB2230|北欧化工","LDPE,LLDPE","LDPE重包料,LLDPE膜料",500,未授信,,0,未授信,,,0,0,0,0,京塑条|授信额度:|0|,,年购,2026-04-07,中客户,0.53%,"LDPE发泡料|月用量|0|渗透率|0.00%|,LDPE重包料|月用量|0|渗透率|0.00%|,MLLDPE|月用量|10|渗透率|0.00%|,LLDPE膜料|月用量|500|渗透率|0.52%|",1,LLDPE,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,否
8碳线性Dowlex系列,2045G,CPG,CPG华东,徐岳,上海浦惠佳塑料制品有限公司,,终端,重包装膜/袋（工业膜/袋）,软包装,工业,"LDPE重包料-2420D|神华榆林,LLDPE膜料-2045G|陶氏,MLLDPE-FP120-D|加拿大NOVA,PPHM拉丝料-H030SG|印度信诚","LDPE,LLDPE,MLLDPE,PPHM","LDPE重包料,LLDPE膜料,MLLDPE,PPHM拉丝料",205,未授信,,0,未授信,,,0,300000,0,0,京塑条|授信额度:|300000|,,无复购率,2017-09-26,小客户,,"PPHM注塑料|月用量|10|渗透率|0.00%|,PPHM拉丝料|月用量|10|渗透率|0.00%|,LDPE膜料|月用量|20|渗透率|0.00%|,LLDPE膜料|月用量|20|渗透率|0.00%|",,,有期货用料,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,是
8碳线性Dowlex系列,2045G,CPG,CPG华东,徐岳,常熟富士包装有限公司,,终端,其他食品软包装|电子保护膜,软包装,工业|食品,"HDPE膜料-3355F|泰国PTT,HDPE膜料-F920A|韩华道达尔,LDPE涂覆料-955|韩华,LDPE膜料-0274|卡塔尔石化,LDPE膜料-2420H|中海壳牌,LDPE膜料-2420H|伊朗石化,LDPE膜料-2420H|扬子巴斯夫,LDPE膜料-2426H|中海壳牌,LLDPE膜料-2022.KI(201KI)|福建联合,LLDPE膜料-2045.11G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-218WJ|沙特SABIC,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|镇海炼化,MLLDPE-5100G|陶氏,MLLDPE-5400G|陶氏,MLLDPE-5401GT|陶氏,MLLDPE-5401G|陶氏,MLLDPE-5500G|陶氏,MLLDPE-5815|陶氏,POP 聚烯烃塑性体-PL1881G|陶氏","HDPE,LDPE,LLDPE,MLLDPE,POP 聚烯烃塑性体","HDPE膜料,LDPE涂覆料,LDPE膜料,LLDPE膜料,MLLDPE,POP 聚烯烃塑性体",374,已授信,,7,1-7天,300000,,0,,,,,,三月购,2026-02-24,中客户,2.67%,"POP 聚烯烃塑性体|月用量|10|渗透率|18.75%|,LDPE涂覆料|月用量|25|渗透率|0.00%|,LDPE膜料|月用量|150|渗透率|0.00%|,LLDPE膜料|月用量|125|渗透率|1.65%|,MLLDPE|月用量|61|渗透率|9.94%|,HDPE膜料|月用量|3|渗透率|0.00%|",3,"LLDPE,MLLDPE,POP 聚烯烃塑性体",有期货用料,有期货订单,非代采客户,正常,未上线,,已绑定,0.1667,2,1-7天,0.3333,1-7天,否,是
8碳线性Dowlex系列,2045G,CPG,CPG华东,徐岳,安徽金新塑业有限公司,198,终端,共挤膜/多层包装膜,其它,其它,"HDPE膜料-6095|兰州石化,HDPE膜料-6097|兰州石化,HDPE膜料-TR144|雪佛龙菲利普斯,LDPE膜料-2426H|神华榆林,LDPE膜料-6236|北欧化工,LLDPE膜料-2045.11G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-7042|中安联合,LLDPE膜料-7050H|中安联合,LLDPE膜料-7050|中原石化,MLLDPE-5401G|陶氏,MLLDPE-SP1520|三井化学","HDPE,LDPE,LLDPE,MLLDPE","HDPE膜料,LDPE膜料,LLDPE膜料,MLLDPE",325,待风控重审,系统冻结|风险低：近一年未合作,3,1-7天,300000,,0,227408.69,0,0,京塑条|授信额度:|227409|,,无复购率,2023-11-02,中客户,,"LLDPE膜料|月用量|150|渗透率|0.00%|,HDPE膜料|月用量|50|渗透率|0.00%|,MLLDPE|月用量|25|渗透率|0.00%|,LDPE膜料|月用量|50|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,是
8碳线性Dowlex系列,2045G,CPG,CPG华东,徐岳,常州树杰塑业有限公司,,终端,保护膜|其他食品软包装|重包膜,硬包装|软包装,工业|食品,"HDPE膜料-6097|大庆石化,HDPE膜料-FB1350|北欧化工,HDPE膜料-HD5290HLF(HTA001HD5)|埃克森,LDPE膜料-0200|伊朗石化,LDPE膜料-0274|卡塔尔石化,LDPE膜料-2023NN|沙特SABIC,LDPE膜料-2420H|扬子巴斯夫,LDPE膜料-2420H|浙江石化,LDPE膜料-2426H|扬子巴斯夫,LDPE膜料-2426H|浙江石化,LDPE膜料-2426H|神华榆林,LDPE膜料-450E|陶氏,LDPE重包料-150E|陶氏,LDPE重包料-165BW1(03322.BW1)|埃克森,LDPE重包料-165BW1|埃克森,LLDPE膜料-0220KJ|上海赛科,LLDPE膜料-118WJ|沙特SABIC,LLDPE膜料-1220F|泰国SCG,LLDPE膜料-2045.11G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-2505H|中海壳牌,LLDPE膜料-7042|华泰,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|蒲洁能化,LLDPE膜料-7042|镇海炼化,LLDPE膜料-7047|裕龙石化,LLDPE膜料-7050HJ|镇海炼化,LLDPE膜料-7050|浙江石化,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-沙特2018BU|埃克森,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-1018MA|埃克森,MLLDPE-1018MF(1018.MF)|埃克森,MLLDPE-1018|兰州石化,MLLDPE-2018MA|埃克森,MLLDPE-2018MB(2018.MB)|埃克森,MLLDPE-2018MB|埃克森,MLLDPE-2045.11GY|陶氏,MLLDPE-5100G|陶氏,MLLDPE-5400G|陶氏,MLLDPE-5401GT|陶氏,MLLDPE-5401G|陶氏,MLLDPE-SP1520|三井化学","HDPE,LDPE,LLDPE,MLLDPE","HDPE膜料,LDPE膜料,LDPE重包料,LLDPE膜料,MLLDPE",2300,已授信,,7,1-7天,300000,,0,606525,0,0,京塑条|授信额度:|606525|,,半年购,2025-10-24,大客户,0.38%,"HDPE膜料|月用量|100|渗透率|0.00%|,MLLDPE|月用量|300|渗透率|0.00%|,LLDPE膜料|月用量|1300|渗透率|0.58%|,LDPE膜料|月用量|350|渗透率|0.36%|,LDPE重包料|月用量|100|渗透率|0.00%|",2,"LDPE,LLDPE",有期货用料,有期货订单,非代采客户,正常,未上线,,已绑定,0,0,无逾期,0,无逾期,否,是
8碳线性Dowlex系列,2045G,,,,桐城市鑫友塑业有限公司,,终端,垃圾袋/废物袋/星形袋|拉链袋/封口袋/自封袋|购物袋/背心袋/零售袋/手提袋/马甲袋,软包装,日用,LLDPE膜料-2045G|陶氏,LLDPE,LLDPE膜料,100,未授信,,0,未授信,,,0,,,,,,无复购率,2018-06-12,小客户,,LLDPE膜料|月用量|30|渗透率|0.00%|,,,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,未知
8碳线性Dowlex系列,2045G,,,,诸城市鑫邦塑料制品有限公司,,终端,一次性餐具/水杯/甜品杯,软包装,食品,"HDPE拉丝料-5000S|兰州石化,LDPE膜料-2420H|伊朗石化,LLDPE膜料-2045G|陶氏,LLDPE膜料-218WJ|沙特SABIC","HDPE,LDPE,LLDPE","HDPE拉丝料,LDPE膜料,LLDPE膜料",65,未授信,,0,未授信,,,0,,,,,,无复购率,2019-05-28,小客户,,"HDPE拉丝料|月用量|50|渗透率|0.00%|,LLDPE膜料|月用量|50|渗透率|0.00%|,LDPE膜料|月用量|10|渗透率|0.00%|,MLLDPE|月用量|10|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,是
8碳线性Dowlex系列,2045G,CPG,CPG华南,张键洪,东莞市致腾塑胶制品有限公司,,终端,拉伸缠绕膜,软包装,工业,"LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018.YB|埃克森,LLDPE膜料-2018AY|埃克森,LLDPE膜料-2045G|陶氏,LLDPE膜料-22B02|中东,LLDPE膜料-2606G|陶氏,LLDPE膜料-2607G|陶氏,LLDPE膜料-2645G|陶氏,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|延长榆能化,LLDPE膜料-7042|烟台万华,LLDPE膜料-Q2018N|卡塔尔石化,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-1018MA|埃克森,MLLDPE-2010PA|埃克森,MLLDPE-2018MA|埃克森,MLLDPE-5220G|陶氏,MLLDPE-5400G|陶氏,MLLDPE-89770.05|陶氏,MLLDPE-HPR3518CB|广东石化,MLLDPE-M3518.CB|埃克森,MLLDPE-M3518.PA|埃克森","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",3100,未授信,,0,未授信,,,0,,,,,,无复购率,,大客户,,"LLDPE膜料|月用量|2000|渗透率|0.00%|,MLLDPE|月用量|1100|渗透率|0.00%|",,,有期货用料,无期货订单,非代采客户,正常,小于5天,1,已绑定,,,无逾期,,无逾期,否,是
8碳线性Dowlex系列,2045G,CPG,CPG华南,"尹书瑶,张键洪",广州桦欣塑胶制品有限公司,,终端,化妆品包装软管|医药包装软管|通用包装软瓶|通用包装软管,其它|软包装,其它|医药|日用,"HDPE中空料-5502A|中海壳牌,HDPE中空料-5502LW|茂名石化,HDPE中空料-5502|独山子石化,HDPE注塑料-8008H|独山子石化,HDPE注塑料-8008|独山子石化,HDPE注塑料-HD5675/FMA026TG|福建联合,HDPE注塑料-HD6480(HMA025)|埃克森,LDPE重包料-1810D|兰州石化,LLDPE注塑料-20024.XR|埃克森,LLDPE膜料-2045G|陶氏,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|茂名石化,LLDPE膜料-FB2230|北欧化工,MLLDPE-5100G|陶氏,PPHM拉丝料-H5035|中化泉州","HDPE,LDPE,LLDPE,MLLDPE,PPHM","HDPE中空料,HDPE注塑料,LDPE重包料,LLDPE注塑料,LLDPE膜料,MLLDPE,PPHM拉丝料",130,已授信,,7,1-7天,300000,,0,94388.54,0,0,京塑条|授信额度:|94389|,,半年购,2026-05-26,小客户,1.47%,"LDPE重包料|月用量|30|渗透率|0.00%|,LLDPE膜料|月用量|20|渗透率|5.16%|,HDPE|月用量|80|渗透率|0.00%|,HDPE注塑料|月用量|15|渗透率|5.83%|,PPHM拉丝料|月用量|30|渗透率|0.00%|,HDPE中空料|月用量|15|渗透率|0.00%|,MLLDPE|月用量|10|渗透率|0.00%|,LLDPE注塑料|月用量|10|渗透率|0.00%|",2,"HDPE,LLDPE",有期货用料,有期货订单,非代采客户,正常,未上线,,已绑定,0.5,4,1-7天,2.6667,1-7天,否,是
8碳线性Dowlex系列,2045G,CPG-上海内海,CPG-上海内海,CPG-上海内海1,微山县永大包装材料有限公司,,终端,通用农膜|通用包装膜/袋,其它,其它,"LLDPE膜料-2045G|陶氏,LLDPE膜料-2645G|陶氏,LLDPE膜料-6821NJ|沙特SABIC,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-DFDA-7047NT7|陶氏,LLDPE膜料-LL7610A|泰国PTT,MLLDPE-SP1520|三井化学,TERPP膜料-XT22062A|沙特SABIC","LLDPE,MLLDPE,TERPP","LLDPE膜料,MLLDPE,TERPP膜料",420,未授信,,0,未授信,,,0,261340.5,0,0,京塑条|授信额度:|261341|,,无复购率,2025-04-28,中客户,,"PPR|月用量|50|渗透率|0.00%|,LLDPE膜料|月用量|400|渗透率|0.00%|,MLLDPE|月用量|0|渗透率|0.00%|",,,有期货用料,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,是
